4,2,3,1,0,0,0,0,0,0
0,0,-1,0,0,0,-1,0,1,0
0.05,0.05,-1,0,0,0,-1,0,1,0
0.1,0.1,-1,0,0,0,-1,0,1,0
0.15,0.15,-1,0,0,0,-1,0,1,0
0.2,0.2,-1,0,0,0,-1,0,1,0
0.25,0.25,-1,0,0,0,-1,0,1,0
0.3,0.3,-1,0,0,0,-1,0,1,0
0.35,0.35,-1,0,0,0,-1,0,1,0
0.4,0.4,-1,0,0,0,-1,0,1,0
0.45,0.45,-1,0,0,0,-1,0,1,0
0.5,0.5,-1,0,0,0,-1,0,1,0
0.55,0.55,-1,0,0,0,-1,0,1,0
0.6,0.6,-1,0,0,0,-1,0,1,0
0.65,0.65,-1,0,0,0,-1,0,1,0
0.7,0.7,-1,0,0,0,-1,0,1,0
0.75,0.75,-1,0,0,0,-1,0,1,0
0.8,0.8,-1,0,0,0,-1,0,1,0
0.85,0.85,-1,0,0,0,-1,0,1,0
0.9,0.9,-1,0,0,0,-1,0,1,0
0.95,0.95,-1,0,0,0,-1,0,1,0
1,1,-1,-1,0,0,-1,0,1,0
1.05,1.05,-1,-1,0,0,-1,0,1,0
1.1,1.1,-1,-1,0,0,-1,0,1,0
1.15,1.15,-1,-1,0,0,-1,0,1,0
1.2,1.2,-1,-1,0,0,-1,0,1,0
1.25,1.25,-1,-1,0,0,-1,0,1,0
1.3,1.3,-1,-1,0,0,-1,-1,1,1
1.35,1.35,-1,-1,0,0,-1,-1,1,1
1.4,1.4,-1,-1,0,0,-1,-1,1,1
1.45,1.45,-1,-1,0,0,-1,-1,1,1
1.5,1.5,-1,-1,0,0,-1,-1,1,1
1.55,1.55,-1,-1,0,0,-1,-1,1,1
1.6,1.6,-1,-1,0,0,-1,-1,1,1
1.65,1.65,-1,-1,0,0,-1,-1,1,1
1.7,1.7,-1,-1,0,0,-1,-1,1,1
1.75,1.75,-1,-1,0,0,-1,-1,1,1
1.8,1.8,-1,-1,0,0,-1,-1,1,1
1.85,1.85,-1,-1,0,0,-1,-1,1,1
1.9,1.9,-1,-1,0,0,-1,-1,1,1
1.95,1.95,-1,-1,0,0,-1,-1,1,1
2,2,-1,-1,0,0,-1,-1,1,1
2.05,2.05,-1,-1,0,0,-1,-1,1,1
2.1,2.1,-1,-1,0,0,-1,-1,1,1
2.15,2.15,-1,-1,0,0,-1,-1,1,1
2.2,2.2,-1,-1,0,0,-1,-1,1,1
2.25,2.25,-1,-1,0,0,-1,-1,1,1
2.3,2.3,-1,-1,0,0,-1,-1,1,1
2.35,2.35,-1,-1,0,0,-1,-1,1,1
2.4,2.4,-1,-1,0,0,-1,0,1,1
2.45,2.45,-1,-1,0,0,-1,0,1,1
2.5,2.5,-1,-1,0,0,-1,0,1,1
2.55,2.55,-1,-1,0,0,-1,0,1,1
2.6,2.6,-1,-1,0,0,-1,0,1,1
2.65,2.65,-1,-1,0,0,-1,0,1,1
2.7,2.7,-1,-1,0,0,-1,0,1,1
2.75,2.75,-1,-1,0,0,-1,0,1,1
2.8,2.8,-1,-1,0,0,-1,0,1,1
2.85,2.85,-1,-1,0,0,-1,0,1,1
2.9,2.9,-1,-1,0,0,-1,0,1,1
2.95,2.95,-1,-1,0,0,0,0,0,1
3,3,0,-1,1,0,1,0,-1,1
3.05,3.05,0,-1,1,0,1,0,-1,1
3.1,3.1,0,-1,1,0,1,0,-1,1
3.15,3.15,0,-1,1,0,1,0,-1,1
3.2,3.2,0,-1,1,0,1,0,-1,1
3.25,3.25,0,-1,1,0,1,0,-1,1
3.3,3.3,0,-1,1,0,1,0,-1,1
3.35,3.35,0,-1,1,0,1,0,-1,1
3.4,3.4,0,-1,1,0,1,0,-1,1
3.45,3.45,0,-1,1,0,1,0,-1,1
3.5,3.5,0,-1,1,0,1,0,-1,1
3.55,3.55,0,-1,1,0,1,0,-1,1
3.6,3.6,0,-1,1,0,1,0,-1,1
3.65,3.65,0,-1,1,0,1,0,-1,1
3.7,3.7,0,-1,1,0,1,0,-1,1
3.75,3.75,0,-1,1,0,1,0,-1,1
3.8,3.8,0,-1,1,0,1,0,-1,0
3.85,3.85,0,-1,1,0,1,0,-1,0
3.9,3.9,0,0,1,0,1,0,-1,0
3.95,3.95,0,1,1,1,1,1,-1,0
4,4,0,1,1,1,1,1,-1,0
4.05,4.05,0,1,1,1,1,1,-1,0
4.1,4.1,0,1,1,-1,1,1,-1,0
4.15,4.15,0,0,1,1,1,1,-1,0
4.2,4.2,0,1,1,1,1,1,-1,0
4.25,4.25,0,1,1,1,1,1,-1,0
4.3,4.3,0,-0,1,1,1,1,-1,0
4.35,4.35,0,-1,1,1,1,1,-1,0
4.4,4.4,0,0,1,1,1,1,-1,0
4.45,4.45,0,-1,1,1,1,1,-1,0
4.5,4.5,0,-1,1,1,1,1,-1,-0
4.55,4.55,0,-1,1,1,1,1,-1,-1
4.6,4.6,0,-1,1,1,1,1,-1,-1
4.65,4.65,0,-1,1,1,1,1,-1,-1
4.7,4.7,0,-1,1,1,1,1,-1,-1
4.75,4.75,0,-1,1,1,1,1,-1,-1
